"Now Shopping by","Atlasīts pēc",theme,frontend/Magento/luma
Previous,Iepriekšējais,theme,frontend/Magento/luma
Remove,Dzēst,theme,frontend/Magento/luma
"Remove This Item","Nodzēst Šo Vienību",theme,frontend/Magento/luma
"Shop By","Iepirkties pēc",theme,frontend/Magento/luma
"Clear All","Notīrīt Visus",theme,frontend/Magento/luma
"Shopping Options","Iepirkšanās opcijas",theme,frontend/Magento/luma
"Welcome to %store_name.","Laipni lūgti %store_name.",theme,frontend/Magento/luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Lai pieslēgtos sistēmai, lietojiet šos datus iepērkoties <a href=""%customer_url"">Mans konts</a> sadaļā:",theme,frontend/Magento/luma
Email:,E-pasts:,theme,frontend/Magento/luma
Password:,Parole:,theme,frontend/Magento/luma
"Password you set when creating account","Parole kuru ievadījāt izveidojot kontu",theme,frontend/Magento/luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Aizmirsāt paroli? <a href=""%reset_url"">Atjaunot paroli</a>.",theme,frontend/Magento/luma
"When you sign in to your account, you will be able to:","Pieslēdzoties kontam Jūs varēsiet:",theme,frontend/Magento/luma
"Quick Checkout","Ātrā iepirkšanās",theme,frontend/Magento/luma
"Proceed through checkout faster","Iespērcieties ātrāk",theme,frontend/Magento/luma
"Order Status","Pasūtījuma statuss",theme,frontend/Magento/luma
"Check the status of orders","Pārbaudīt pasūtījumu statusu",theme,frontend/Magento/luma
"Manage Addresses","Pārvaldīt adreses",theme,frontend/Magento/luma
"Store alternative addresses","Saglabāt papildus adreses",theme,frontend/Magento/luma
"For shipping to multiple family members and friends","Piegādei vairākiem saņēmējiem",theme,frontend/Magento/luma
"Order History","Pasūtījumu vēsture",theme,frontend/Magento/luma
"View past orders","Apskatīt iepriekšējos pasūtījumus",theme,frontend/Magento/luma
"About Us","Par mums",theme,frontend/Magento/luma
"Customer Service","Klientu serviss",theme,frontend/Magento/luma
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Darba laiks:<br /><span class=""no-link"">%store_hours</span>.",theme,frontend/Magento/luma
"Thank you for your order from %store_name.","Paldies par pirkumu %store_name.",theme,frontend/Magento/luma
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Jūs varat pārbaudīt savu pasūtījumu statusu <a href=""%account_url"">pieslēdzoties kontam</a>.",theme,frontend/Magento/luma
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ja Jums ir jautājumi par pasūtījumu, sazinaties ar mums sūtot e-pastu uz <a href=""mailto:%store_email"">%store_email</a>.",theme,frontend/Magento/luma
"Your Credit Memo #%creditmemo_id for Order #%order_id","Kredītrēķins #%creditmemo_id pasūtījumam #%order_id",theme,frontend/Magento/luma
"Billing Info","Norēķinu informācija",theme,frontend/Magento/luma
"Shipping Info","Piegādes informācija",theme,frontend/Magento/luma
"Payment Method","Maksāšanas veids",theme,frontend/Magento/luma
"Shipping Method","Piegādes veids",theme,frontend/Magento/luma
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Pasūtījuma #%increment_id statuss tika atjaunots uz <strong>%order_status</strong>.",theme,frontend/Magento/luma
"Your Invoice #%invoice_id for Order #%order_id","Rēķins #%invoice_id pasūtījumam #%order_id",theme,frontend/Magento/luma
"Once your package ships we will send you a tracking number.","Jums tiks izsūtīts sekošanas numurs, kad prece tiks izsūtīta.",theme,frontend/Magento/luma
"Your Order <span class=""no-link"">#%increment_id</span>","Pasūtījums <span class=""no-link"">#%increment_id</span>",theme,frontend/Magento/luma
"Placed on <span class=""no-link"">%created_at</span>","Pasūtīts <span class=""no-link"">%created_at</span>",theme,frontend/Magento/luma
"Your shipping confirmation is below. Thank you again for your business.","Piegādes informācija. Paldies par pirkumu.",theme,frontend/Magento/luma
"Your Shipment #%shipment_id for Order #%order_id","Piegāde #%shipment_id pasūtījumam #%order_id",theme,frontend/Magento/luma
